CONVEYOR_NAME|ID|LABEL|BODY
collector|1001|USER|{"user_name":"Michael Taylor"}
collector|1001|ADDRESS|{"zip_code":"17919"}
collector|1001|DONE|{}
collector|1002|USER|{"user_name":"Evelyn Garcia"}
collector|1002|ADDRESS|{"zip_code":"25838"}
collector|1002|DONE|{}
collector|1003|USER|{"user_name":"Benjamin Anderson"}
collector|1003|ADDRESS|{"zip_code":"33757"}
collector|1003|DONE|{}
collector|1004|USER|{"user_name":"Sophia Brown"}
collector|1004|ADDRESS|{"zip_code":"41676"}
collector|1004|DONE|{}
collector|1005|USER|{"user_name":"Liam Gonzalez"}
collector|1005|ADDRESS|{"zip_code":"49595"}
collector|1005|DONE|{}
collector|1006|USER|{"user_name":"Harper Johnson"}
collector|1006|ADDRESS|{"zip_code":"57514"}
collector|1006|DONE|{}
collector|1007|USER|{"user_name":"Lucas Hernandez"}
collector|1007|ADDRESS|{"zip_code":"65433"}
collector|1007|DONE|{}
collector|1008|USER|{"user_name":"Isabella Martin"}
collector|1008|ADDRESS|{"zip_code":"73352"}
collector|1008|DONE|{}
collector|1009|USER|{"user_name":"Noah Rodriguez"}
collector|1009|ADDRESS|{"zip_code":"81271"}
collector|1009|DONE|{}
collector|1010|USER|{"user_name":"Ella Moore"}
collector|1010|ADDRESS|{"zip_code":"89190"}
collector|1010|DONE|{}
collector|1011|USER|{"user_name":"Henry Miller"}
collector|1011|ADDRESS|{"zip_code":"97109"}
collector|1011|DONE|{}
collector|1012|USER|{"user_name":"Amelia Thomas"}
collector|1012|ADDRESS|{"zip_code":"15028"}
collector|1012|DONE|{}
collector|1013|USER|{"user_name":"Ava Jones"}
collector|1013|ADDRESS|{"zip_code":"22947"}
collector|1013|DONE|{}
collector|1014|USER|{"user_name":"Abigail Wilson"}
collector|1014|ADDRESS|{"zip_code":"30866"}
collector|1014|DONE|{}
collector|1015|USER|{"user_name":"Alexander Williams"}
collector|1015|ADDRESS|{"zip_code":"38785"}
collector|1015|DONE|{}
collector|1016|USER|{"user_name":"Mia Lopez"}
collector|1016|ADDRESS|{"zip_code":"46704"}
collector|1016|DONE|{}
collector|1017|USER|{"user_name":"Mason Smith"}
collector|1017|ADDRESS|{"zip_code":"54623"}
collector|1017|DONE|{}
collector|1018|USER|{"user_name":"Emma Martinez"}
collector|1018|ADDRESS|{"zip_code":"62542"}
collector|1018|DONE|{}
collector|1019|USER|{"user_name":"Elijah Jackson"}
collector|1019|ADDRESS|{"zip_code":"70461"}
collector|1019|DONE|{}
collector|1020|USER|{"user_name":"Charlotte Davis"}
collector|1020|ADDRESS|{"zip_code":"78380"}
collector|1020|DONE|{}
collector|1021|USER|{"user_name":"James Taylor"}
collector|1021|ADDRESS|{"zip_code":"86299"}
collector|1021|DONE|{}
collector|1022|USER|{"user_name":"Olivia Garcia"}
collector|1022|ADDRESS|{"zip_code":"94218"}
collector|1022|DONE|{}
